Shape_Leng,Shape_Area,OBJECTID_1,OBJECTID_2,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM,MEDIAN,PCT90,OBJECTID_3,OBJECTID_4,COUNT_1,AREA_1,MIN_1,MAX_1,RANGE_1,MEAN_1,STD_1,SUM_1,MEDIAN_1,PCT90_1
0.02,0.000025,55,55,3136,2.53066E-05,-0.001655629,0.661237776,0.662893405,0.418530564,0.179687555,1312.511849,0.463382974,0.611893594,0,0,342,2.48385E-05,31.4895407,44.15672282,12.66718212,37.00600511,2.835764851,12656.05375,36.77892665,41.11810304
0.02,0.000025,56,56,3025,2.44109E-05,0.046150137,0.667225778,0.621075641,0.384714882,0.14650254,1163.76252,0.404283255,0.568093812,0,0,324,2.35313E-05,30.9768377,39.47403542,8.49719772,36.7894339,1.85659592,11919.77658,37.22497826,38.7528332
0.02,0.000025,57,57,3080,2.48547E-05,-0.024236038,0.669339776,0.693575814,0.288044231,0.212123546,887.1762311,0.315170661,0.588875473,0,0,324,2.35313E-05,32.26884926,41.96235398,9.69350472,38.52150498,2.718287578,12480.96761,39.65006345,41.12493908
0.02,0.000025,58,58,3080,2.48547E-05,0.123244926,0.677485824,0.554240897,0.431707923,0.106345227,1329.660403,0.441823587,0.55990352,0,0,361,2.62185E-05,0,0,0,0,0,0,0,0
0.019316001,2.00619E-05,59,59,2439,1.9682E-05,0.280635267,0.670697212,0.390061945,0.523515933,0.065955021,1276.855361,0.530242145,0.604796696,0,0,287,2.0844E-05,30.51198698,38.07264722,7.56066024,32.63048054,1.186125745,9364.947915,32.47051244,34.37093156
0.02,2.5E-05,60,60,3136,2.53066E-05,-0.003205795,0.648086786,0.651292582,0.297820255,0.168508659,933.9643208,0.274413422,0.539215624,0,0,361,2.62185E-05,34.12825214,41.97602606,7.84777392,38.48026267,1.61063091,13891.37483,38.70498092,40.5643838
0.02,0.000025,61,61,3136,2.53066E-05,-0.011281458,0.644432068,0.655713526,0.181375216,0.157915652,568.792678,0.129571974,0.434180245,0,0,324,2.35313E-05,40.7181947,47.7080456,6.9898509,43.62153895,1.86756315,14133.37862,43.15866098,46.40236196
0.02,2.5E-05,62,62,3080,2.48547E-05,0.089427739,0.693311155,0.603883415,0.516901166,0.120127247,1592.055592,0.548311025,0.641537488,0,0,342,2.48385E-05,30.173603,37.3685351,7.1949321,33.39449719,1.87685446,11420.91804,33.11993624,36.1722281
0.02,2.5E-05,63,63,3025,2.44109E-05,0.034335908,0.612522125,0.578186218,0.304235289,0.151887554,920.3117494,0.326121539,0.503633809,0,0,324,2.35313E-05,34.68880742,41.7606908,7.07188338,0,0,0,0,0
0.02,2.5E-05,64,64,3136,2.53066E-05,0.118404858,0.668530583,0.550125726,0.490082985,0.114346242,1536.900241,0.522235394,0.610010624,0,0,342,2.48385E-05,31.37332802,40.98138224,9.60805422,35.87756879,2.007051174,12270.12853,35.7620657,38.49306368
0.020490966,2.49286E-05,65,65,3073,2.47982E-05,0.058311574,0.626459122,0.568147548,0.377782291,0.109394747,1160.924981,0.387642384,0.510668576,0,0,341,2.47659E-05,32.76104414,38.32216268,5.56111854,0,0,0,35.48520608,37.92225434
0.02,0.000025,66,66,3080,2.48547E-05,-0.019298609,0.614016652,0.633315261,0.280743211,0.151109791,864.68909,0.268210426,0.487743402,0,0,342,2.48385E-05,36.1038677,43.36032416,7.25645646,39.02146758,2.088529252,13345.34191,38.34608882,42.17427122
0.02,0.000025,67,67,3080,2.48547E-05,0.205797583,0.673189342,0.467391759,0.53728374,0.085201285,1654.83392,0.560703158,0.626026243,0,0,361,2.62185E-05,30.41970044,35.65610708,5.23640664,32.71929885,1.365386793,11811.66688,32.7029378,34.56234068
0.02,0.000025,68,68,3136,2.53066E-05,0.097423002,0.674931109,0.577508107,0.483412428,0.127786964,1515.981374,0.512377381,0.622989237,0,0,361,2.62185E-05,33.39337784,40.11320516,6.71982732,36.45240159,1.404300417,13159.31697,36.43883366,38.11024544
0.02,0.000025,69,69,3136,2.53066E-05,0.055781521,0.69935137,0.643569849,0.464464046,0.147176101,1456.559249,0.503178477,0.631883591,0,0,361,2.62185E-05,30.15309488,42.16059914,12.00750426,35.90365315,2.962765894,12961.21879,36.59606258,39.231356
0.02,0.000025,70,70,3136,2.53066E-05,-0.003821656,0.692365527,0.696187183,0.311559584,0.220002849,977.0508558,0.294972062,0.61548546,0,0,361,2.62185E-05,29.87281724,41.58295376,11.71013652,37.02614607,2.884359506,13366.43873,37.90174622,39.94572218
0.02,0.000025,71,71,3080,2.48547E-05,0.065352537,0.658763885,0.593411349,0.441178203,0.120733317,1358.828866,0.457541108,0.58297649,0,0,342,2.48385E-05,34.11116204,37.7786975,3.66753546,36.01926671,0.867171447,12318.58921,35.97398294,37.16653012
0.02,0.000025,72,72,3136,2.53066E-05,-0.020125458,0.685052514,0.705177972,0.543769278,0.118314292,1705.260455,0.582936645,0.631479114,0,0,361,2.62185E-05,28.24583972,38.65712864,10.41128892,30.87495041,1.833577064,11145.8571,30.57692936,33.16095248
0.02,0.000025,73,73,3136,2.53066E-05,0.042412452,0.677784145,0.635371692,0.478162027,0.114433369,1499.516115,0.50267756,0.599781096,0,0,324,2.35313E-05,29.81812892,38.65712864,8.83899972,34.5286563,2.466841061,11187.28464,34.43245592,37.96361238
0.02,2.5E-05,74,74,3080,2.48547E-05,0.024223724,0.696653903,0.672430178,0.458302061,0.149098253,1411.570349,0.496479303,0.627477288,0,0,342,2.48385E-05,32.32353758,41.73676466,9.41322708,36.19513483,2.242016973,12378.73611,35.83726214,39.20742986
0.02,2.5E-05,75,75,3080,2.48547E-05,0.048298668,0.674613595,0.626314927,0.438042039,0.137506431,1349.169481,0.455680117,0.601441324,0,0,324,2.35313E-05,30.99050978,43.06979246,12.07928268,37.47334383,3.709106191,12141.3634,37.41809639,42.15889013
0.02,2.5E-05,76,76,3136,2.53066E-05,-0.185185179,0.650315523,0.835500702,0.221604445,0.177178138,694.9515391,0.158981666,0.497892261,0,0,342,2.48385E-05,36.29527682,54.20911964,17.91384282,44.61571693,3.695793186,15258.57519,44.18064896,49.99401738
0.02,0.000025,77,77,3080,2.48547E-05,0.499478847,0.646587491,0.147108644,0.587121259,0.020811268,1808.333478,0.586888939,0.613172674,0,0,361,2.62185E-05,27.2341058,30.59743748,3.36333168,28.31565822,0.714709564,10221.95262,28.07835674,29.13452492
0.02,2.5E-05,78,78,3025,2.44109E-05,-0.010888252,0.604773939,0.615662191,0.25032641,0.137132166,757.2373914,0.242220193,0.442882091,0,0,324,2.35313E-05,39.70646078,44.47118066,4.76471988,41.91802521,0.96973132,13581.44017,41.68549436,43.41637969
0.02,2.5E-05,79,79,3025,2.44109E-05,0.056083649,0.66161412,0.605530471,0.488465499,0.107005584,1477.608135,0.518518507,0.600327897,0,0,324,2.35313E-05,30.6008555,37.20105212,6.60019662,34.14003587,1.348040199,11061.37162,34.0017854,36.16231584
0.02,0.000025,80,80,3136,2.53066E-05,0.314984709,0.662047505,0.347062796,0.580807749,0.052753446,1821.4131,0.595712572,0.628755689,0,0,342,2.48385E-05,26.05830692,34.19319452,8.1348876,29.39242552,2.02659185,10052.20953,29.03711135,32.28252134
